file_name,caption
VizWiz_train_00000000.jpg,ITS IS A BASIL LEAVES CONTAINER ITS CONTAINS THE NET WEIGHT TOO.
VizWiz_train_00000000.jpg,A green and white plastic condiment bottle containing Basil leaves.
VizWiz_train_00000000.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000000.jpg,A bottle of spices in a plastic container laying on a surface.
VizWiz_train_00000000.jpg,some basil leaves in a container on a counter
VizWiz_train_00000001.jpg,"A can of Coca Cola on a counter is shown for when one can use a nice, cold drink."
VizWiz_train_00000001.jpg,A black can of Coca Cola Zero calorie soda is on the counter near the coffee maker.
VizWiz_train_00000001.jpg,"A kitchen counter the various items on top including a can of Coca-Cola, metal containers, and a teapot."
VizWiz_train_00000001.jpg,a black tin of Coca Cola placed on a black surface
VizWiz_train_00000001.jpg,"Black counter with canisters, kettle and can of soda."
VizWiz_train_00000002.jpg,"A can of crushed tomatoes are on a brown surface, the tomatoes read crushed tomatoes on the brand."
VizWiz_train_00000002.jpg,A can of crushed tomatoes sitting on a beige colored counter.
VizWiz_train_00000002.jpg,a can of crushed tomatoes in puree from price chopper.
VizWiz_train_00000002.jpg,a Price Chopper branded can of crushed tomatoes
VizWiz_train_00000002.jpg,Image is a can of crushed tomatoes in view.
VizWiz_train_00000003.jpg,A white screen with a captcha that needs to be completed.
VizWiz_train_00000003.jpg,A screenshot of a Captcha code on a phone screen.
VizWiz_train_00000003.jpg,Screenshot from a smartphone with a case insensitive security measure.
VizWiz_train_00000003.jpg,image shows a screenshot of a page required captcha.
VizWiz_train_00000003.jpg,"A screenshot of Spotify page on a cell phone saying click here to start download, showing a captcha that says T36M (case sensitive)."
VizWiz_train_00000004.jpg,A box for a garden light rests in someone's lap.
VizWiz_train_00000004.jpg,A box containing information about a solar garden light product
VizWiz_train_00000004.jpg,A garden book is sitting on a person's lap.
VizWiz_train_00000004.jpg,a box for a solar garden light laying on someone's lap
VizWiz_train_00000004.jpg,A blue and yellow box with lights for the garden inside.
VizWiz_train_00000005.jpg,A person uses a pair of brown hiking boots.
VizWiz_train_00000005.jpg,Two boot encased feet and blue jean clad legs are standing on an off-white floor.
VizWiz_train_00000005.jpg,Someone wearing brown work boots has taken a picture of a white floor.
VizWiz_train_00000005.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000005.jpg,A person's feet wearing brown shoes on a white floor.
VizWiz_train_00000006.jpg,a jug of equate antiseptic mouthwash citrus flavor
VizWiz_train_00000006.jpg,Bottle of orange equate brand antiseptic mouth rinse that is citrus flavored.
VizWiz_train_00000006.jpg,A person is holding a container of orange mouthwash.
VizWiz_train_00000006.jpg,Orange mouthwash waits to be gargled from this bottle.
VizWiz_train_00000006.jpg,An orange and white packet of mouth rinse called equate is seen.
VizWiz_train_00000007.jpg,a fine life monitor cleaning kit from fine life
VizWiz_train_00000007.jpg,An unopened Monitor Cleaning Kit rests in someone's lap.
VizWiz_train_00000007.jpg,A package containing cleaning items to clean a monitor.
VizWiz_train_00000007.jpg,A packaged set of cleaning supplies for a device screen.
VizWiz_train_00000007.jpg,A cleaning kit is shown in plastic packaging on someone's legs
VizWiz_train_00000008.jpg,candy with pink color to eat and enjoy and text appear on the package
VizWiz_train_00000008.jpg,a yellow color cheese is packed in a transparent nylon
VizWiz_train_00000008.jpg,a sachet packaged of Farley' s Orange Slices
VizWiz_train_00000008.jpg,"Tasty, orange, jelly candies are in this bag."
VizWiz_train_00000008.jpg,Plastic bag of Farley's brand orange slice candies.
VizWiz_train_00000009.jpg,A silver cover drain in the middle of a white floor.
VizWiz_train_00000009.jpg,A shower floor has a chrome center for water to leave.
VizWiz_train_00000009.jpg,A sink drain is in the large white sink
VizWiz_train_00000009.jpg,A chrome shower drain with the shadow of the hands of the person taking the picture
VizWiz_train_00000009.jpg,A metal drain cover covering a drain located in a shallow sink.
VizWiz_train_00000010.jpg,A person is holding a white Samsung phone on a bed.
VizWiz_train_00000010.jpg,A white Samsung cell phone in a case
VizWiz_train_00000010.jpg,A wonderful view of the fog windows in the room is very thick
VizWiz_train_00000010.jpg,Caucasian hand holding a white smartphone in front of a blue striped background.
VizWiz_train_00000010.jpg,A person holding a white cell phone in their hand.
VizWiz_train_00000011.jpg,imagine how you would describe this image on the phone to a friend.
VizWiz_train_00000011.jpg,the photographer's hand holding a round bottle with a black lid.
VizWiz_train_00000011.jpg,canned food held by a man's fingers with the thumb visible
VizWiz_train_00000011.jpg,A person holding a food can with the rear of the label facing forward.
VizWiz_train_00000011.jpg,A White man's hand holding a Vitamin Bottle.
VizWiz_train_00000012.jpg,a jvc DVD and vcr remote someone has in their hand
VizWiz_train_00000012.jpg,A JVC Remote Control for a DVD and VCR.
VizWiz_train_00000012.jpg,A gray remote has many buttons  on it
VizWiz_train_00000012.jpg,PERSON HOLDING A TV REMOTE IN THEIR HAND
VizWiz_train_00000012.jpg,A JVC branded remote in a white hand
VizWiz_train_00000013.jpg,I see a can of Dr pepper on the bed
VizWiz_train_00000013.jpg,White can of Thor diet Dr pepper with red writing
VizWiz_train_00000013.jpg,Hairy chest with white  sheet  and a can of  diet Dr pepper
VizWiz_train_00000013.jpg,A can of Dr pepper soda sits on a bed sheet that is covering a person
VizWiz_train_00000013.jpg,A very hairy stomach covered with a blanket with Dr Pepper can on top of it
VizWiz_train_00000014.jpg,The backside of a cough drop package with its nutrition site showing
VizWiz_train_00000014.jpg,the back of a package of halls brand cough drops
VizWiz_train_00000014.jpg,A package of throat lozenges is laying on a table.
VizWiz_train_00000014.jpg,A big bag of halls cough suppressing mints.
VizWiz_train_00000014.jpg,Halls advanced vapor cough drops back panel with directions showing partially.
VizWiz_train_00000015.jpg,someone holding a white fabric of some sort
VizWiz_train_00000015.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000015.jpg,The white t-shirt is on the person and the floor is tiled and marbled like.
VizWiz_train_00000015.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000015.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000016.jpg,Three quarters and a nickel on a wood surface.
VizWiz_train_00000016.jpg,"Two US quarters, a nickel, and a dime, sitting on top of a wooden surface."
VizWiz_train_00000016.jpg,A group of small coins are on top of the table.
VizWiz_train_00000016.jpg,"Two quarters, a nickel, and a dime sitting on a wooden surface."
VizWiz_train_00000016.jpg,Three quarters and one nickel on a wooden table.
VizWiz_train_00000017.jpg,Blear package containing an air freshener that uses purple beads.
VizWiz_train_00000017.jpg,Water beads fill the jar sitting on the table.
VizWiz_train_00000017.jpg,A photo of a jar of purple aroma fragrance spheres on a granite counter top.
VizWiz_train_00000017.jpg,The container is short and squatty and has a white pearl like round top with purple beads.
VizWiz_train_00000017.jpg,an air freshener with clear balls inside of it
VizWiz_train_00000018.jpg,An office room has a TV and a table with papers and a bottle of liquid on it.
VizWiz_train_00000018.jpg,An office or classroom with a TV on a metal AV stand is in the background of a white table with red chair and glass beverage bottle.
VizWiz_train_00000018.jpg,A frosted white and orange glass bottle standing on a table with a glass and bowl.
VizWiz_train_00000018.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000018.jpg,A flat screen TV is sitting on a utility cart near a table.
VizWiz_train_00000019.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000019.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000019.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000019.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000019.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000020.jpg,A copy of Grand theft auto vice city for PlayStation 2.
VizWiz_train_00000020.jpg,"Most of grand theft auto vice, a video game, is shown with the cover of the video game showing a motorcycle in the upper right corner, and an African American man with a gun in the lower right corner, and a few cars on the cover."
VizWiz_train_00000020.jpg,a PlayStation 2 CD pack of Grand Theft Auto
VizWiz_train_00000020.jpg,A case of the game grand theft auto vice city on PlayStation 2 is visible.
VizWiz_train_00000020.jpg,The front of a copy of the Grand Theft Auto Vice City video game.
VizWiz_train_00000021.jpg,Only graphs are visible and nothing more else
VizWiz_train_00000021.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000021.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000021.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000021.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000022.jpg,A can of kidney beans on a kitchen counter.
VizWiz_train_00000022.jpg,A can of Great Value light red kidney beans
VizWiz_train_00000022.jpg,A product tin lead on a white table.
VizWiz_train_00000022.jpg,a white can of canned light red kidney beans
VizWiz_train_00000022.jpg,A great value can of light red kidney beans is on top of the countertop next to the stove.
VizWiz_train_00000023.jpg,A movie container storing the CD for the movie Bridesmaids.
VizWiz_train_00000023.jpg,Movie called Bridesmaids From the producer of Superbad and Knocked up.
VizWiz_train_00000023.jpg,A cover from the movie Bridesmaids which shows four actresses in pink outfits and one actress in a wedding dress.
VizWiz_train_00000023.jpg,A DVD of Bridesmaids shows five women on the cover.
VizWiz_train_00000023.jpg,Bridesmaids DVD cover on top of a tan carpet.
VizWiz_train_00000024.jpg,A person holding up a white piece of paper.
VizWiz_train_00000024.jpg,A hand holding a paper over a black object.
VizWiz_train_00000024.jpg,A person's hand holding a white piece of paper.
VizWiz_train_00000024.jpg,Quality issues are too severe to recognize visual content.
VizWiz_train_00000024.jpg,Pictured is a portion of someone's hand holding a white piece of paper.
VizWiz_train_00000025.jpg,A fluffy grey poodle dog is wearing a shiny metal collar.
VizWiz_train_00000025.jpg,#NAME?
VizWiz_train_00000025.jpg,close up of a grey poodle with a chain collar.
VizWiz_train_00000025.jpg,grey short haired dog from behind with choker leash
VizWiz_train_00000025.jpg,A gray dog looking forward with a silver collar.
VizWiz_train_00000026.jpg,"The photo  is of a bottle of  some sort of sleep  liquid, It is too blurry to make out what the product is."
VizWiz_train_00000026.jpg,"A purple bottle with the word ""sleep"" on the front."
VizWiz_train_00000026.jpg,blue and sparkly bottle with the word sleep written on it
VizWiz_train_00000026.jpg,Front label of an small plastic bottle containing a health and beauty product.
VizWiz_train_00000026.jpg,"A small blue bottle with little sparkles on it and the word ""sleep""."
VizWiz_train_00000027.jpg,Quality issues are too severe to recognize visual content.
